"method","point_category","mean_pa_AUC","n_nas"
"gaussian / gaussian","high",0.761618677314357,0
"gaussian / gaussian","low",0.670603553363908,0
"gaussian / gaussian","typical",0.710801689630615,0
"gaussian / gaussian",NA,NA,1
"gaussian / kde","high",0.745857010469322,0
"gaussian / kde","low",0.69453020697325,0
"gaussian / kde","typical",0.715448016846663,0
"gaussian / kde",NA,NA,1
"gaussian / none","high",0.735272937382844,0
"gaussian / none","low",0.672364810138028,0
"gaussian / none","typical",0.704879989498585,0
"gaussian / none",NA,NA,1
"gaussian / rangebagging","high",0.735610509519494,0
"gaussian / rangebagging","low",0.672474733009401,0
"gaussian / rangebagging","typical",0.704951302010596,0
"gaussian / rangebagging",NA,NA,1
"kde / gaussian","high",0.728088904433394,0
"kde / gaussian","low",0.639187954313744,0
"kde / gaussian","typical",0.70119070607858,0
"kde / gaussian",NA,NA,1
"kde / kde","high",0.75814232462659,0
"kde / kde","low",0.6531075898979,0
"kde / kde","typical",0.714125177331958,0
"kde / kde",NA,NA,1
"kde / none","high",0.73526981627247,0
"kde / none","low",0.651046220187438,0
"kde / none","typical",0.705081383477087,0
"kde / none",NA,NA,1
"kde / rangebagging","high",0.735142193320434,0
"kde / rangebagging","low",0.651027224701267,0
"kde / rangebagging","typical",0.705340430023105,0
"kde / rangebagging",NA,NA,1
"maxnet","high",0.785560674857788,0
"maxnet","low",0.678150753703265,0
"maxnet","typical",0.732823106956366,0
"rangebagging / gaussian","high",0.605299840381538,0
"rangebagging / gaussian","low",0.604420430569359,0
"rangebagging / gaussian","typical",0.604723029798558,0
"rangebagging / kde","high",0.58036120194971,0
"rangebagging / kde","low",0.596354043685273,0
"rangebagging / kde","typical",0.590635355933912,0
"rangebagging / none","high",0.609108166332276,0
"rangebagging / none","low",0.665261024506544,0
"rangebagging / none","typical",0.680601634476589,0
"rangebagging / rangebagging","high",0.603472142494332,0
"rangebagging / rangebagging","low",0.674250256085213,0
"rangebagging / rangebagging","typical",0.686310400753632,0
"rulsif",NA,NA,226
"ulsif","high",0.613456266203138,0
"ulsif","low",0.576186885422884,0
"ulsif","typical",0.643359463562994,0
