"method","point_category","mean_pa_AUC","median_pa_AUC","mean_pa_sensitivity","mean_pa_specificity","n_nas"
"gaussian / gaussian","high",0.761313868512764,0.750703576631332,0.93671764958281,0.420158770858166,0
"gaussian / gaussian","low",0.635848634700067,0.581884687071835,0.562101970277117,0.649055899022768,0
"gaussian / gaussian","typical",0.690363433809533,0.688837234256361,0.785244369949211,0.498895540223296,0
"gaussian / gaussian",NA,NA,NA,NA,NA,1
"gaussian / kde","high",0.745277309597516,0.746127305554224,0.944875292649229,0.366224150395932,0
"gaussian / kde","low",0.649923914961284,0.620277132283329,0.497185329012865,0.667319501719794,0
"gaussian / kde","typical",0.708334313626917,0.698798076923077,0.781300512765226,0.496012312916604,0
"gaussian / kde",NA,NA,NA,NA,NA,1
"gaussian / lobagoc","high",NA,NA,0.935430785943383,0.372272288859119,23
"gaussian / lobagoc","low",NA,NA,0.557939169005848,0.629625515358482,21
"gaussian / lobagoc","typical",NA,NA,0.783503186160619,0.461426658108927,181
"gaussian / lobagoc",NA,NA,NA,NA,NA,1
"gaussian / none","high",0.729222346105807,0.72432157152994,0.943304995702369,0.349919857720778,0
"gaussian / none","low",0.634367240665319,0.623397435897436,0.48823711946911,0.65877912281857,0
"gaussian / none","typical",0.694263819887836,0.686057166604783,0.79378127837395,0.460057553913628,0
"gaussian / none",NA,NA,NA,NA,NA,1
"gaussian / rangebagging","high",0.729372265398196,0.724476501856561,0.943110409966265,0.350639929471589,0
"gaussian / rangebagging","low",0.634369177090427,0.623397435897436,0.48823711946911,0.658772841935811,0
"gaussian / rangebagging","typical",0.694311566385252,0.686417821728215,0.792886257988768,0.460757922754731,0
"gaussian / rangebagging",NA,NA,NA,NA,NA,1
"gaussian / vine","high",0.737520371961799,0.720309698901926,0.955649701683958,0.300261707146631,0
"gaussian / vine","low",0.623841868768579,0.583333333333333,0.587641576680941,0.559584402533102,0
"gaussian / vine","typical",NA,NA,0.843424698263888,0.391194812635093,16
"gaussian / vine",NA,NA,NA,NA,NA,1
"kde / gaussian","high",0.726637984517338,0.728077385475148,0.712486991185601,0.606534815742998,0
"kde / gaussian","low",0.643202309257328,0.594594091793847,0.196574026121457,0.904112737342812,0
"kde / gaussian","typical",0.680612795725139,0.684501970893015,0.487073478516539,0.702850908809683,0
"kde / gaussian",NA,NA,NA,NA,NA,1
"kde / kde","high",0.75814232462659,0.75647660270452,0.681340221323011,0.676575807234124,0
"kde / kde","low",0.649681499111631,0.595830080517081,0.0934288476354011,0.968695941066472,0
"kde / kde","typical",0.70923962381956,0.697537993920973,0.374045540156167,0.811796339800986,0
"kde / kde",NA,NA,NA,NA,NA,1
