"","bg_method","pres_method","mean_auc","mean_pa_auc","mean_pa_pAUC_sensitivity","mean_pa_pAUC_specificity","mean_pa_prediction_accuracy","mean_pa_sensitivity","mean_pa_specificity","mean_pa_correlation","mean_pa_kappa","median_pa_auc"
"1","gaussian","gaussian",0.875133222898023,0.692528096995646,0.690473840320222,0.504861859509478,0.549989489707142,0.77990168123125,0.504861859509478,0.0270885381940629,0.0941617743070414,0.700006363234766
"2","gaussian","kde",0.935645541386665,0.681659678569267,0.670065664091246,0.712684198086105,0.691206061349158,0.481711357799635,0.712684198086105,0.0132835886467096,0.0986260745636966,0.681425281796412
"3","gaussian","lobagoc",0.896002176636867,0.646294015111394,0.586453158401303,0.639471078606844,0.642056578331814,0.61137593864829,0.639471078606844,0.0391484545678523,0.10929709008615,0.63345664558962
"4","gaussian","rangebagging",0.674966458153425,0.523920120503923,0.588852920982395,0.179875235463834,0.27812189373844,0.882896150579326,0.179875235463834,-0.00232320325460726,0.0107930725322019,0.518077958586411
"5","gaussian","vine",0.916075112562263,0.693974047803395,0.665752632988781,0.649195653439053,0.647764567108405,0.600946498321072,0.649195653439053,0.0335224561758766,0.104882957505747,0.687124318237556
"6","kde","gaussian",0.889623319091912,0.706659071561786,0.674075380617229,0.498733749480566,0.539493922502551,0.771504073114259,0.498733749480566,0.0865507860826179,0.0901259318259259,0.698027322810736
"7","kde","kde",0.986448785043264,0.70841510548617,0.67387769906306,0.813315090817888,0.753099802633189,0.37801980874008,0.813315090817888,0.065061936894499,0.113855598960778,0.695075987841945
"8","kde","lobagoc",0.919512515588392,0.646328987010066,0.58541383906128,0.633600818283021,0.63608960437433,0.612128723362223,0.633600818283021,0.05871554544005,0.103844794678174,0.628651389811993
"9","kde","rangebagging",0.815464546021149,0.549664099726271,0.591317452794287,0.207150544304154,0.296161703744158,0.879633406936933,0.207150544304154,0.000645942220702334,0.0217362614046854,0.54509458343905
"10","kde","vine",0.928194201354236,0.699977056025502,0.665352428080435,0.652477233967314,0.649335083108286,0.597801080020055,0.652477233967314,0.0625680021381373,0.106204139327406,0.678143995167441
"11","lobagoc","gaussian",NA,NA,NA,0.46801166037335,0.513437671179782,0.77798092142619,0.46801166037335,NA,0.07458883183354,NA
"12","lobagoc","kde",NA,NA,NA,0.884099789470822,0.795891556832699,0.209661376209126,0.884099789470822,NA,0.0563093257142892,NA
"13","lobagoc","lobagoc",0.870973003330254,0.670108537664363,0.594184601207886,0.633253518479116,0.634075397513484,0.599280994158088,0.633253518479116,0.181225180887473,0.102913714307045,0.668773653937789
"14","lobagoc","rangebagging",NA,NA,NA,0.608049533267785,0.615299183966199,0.633795839152718,0.608049533267785,NA,0.090999877467218,NA
"15","lobagoc","vine",NA,NA,NA,0.619540717969598,0.622942044133876,0.609435263749658,0.619540717969598,NA,0.0858619252668503,NA
"16","none","gaussian",0.814530539155049,0.692247010729349,0.661906234938756,0.467346380289487,0.512615709059275,0.78054847020307,0.467346380289487,0.131044870254574,0.081973099986428,0.686057166604783
"17","none","kde",0.973236409834964,0.695830974864341,0.665994614704486,0.915966617440894,0.819331001628644,0.183212068119484,0.915966617440894,0.136861253590972,0.0791124506347137,0.700936657743229
"18","none","lobagoc",0.831777596764345,0.645587413376266,0.585528598563321,0.64161208033544,0.639878880250498,0.589968847202889,0.64161208033544,0.147656117838276,0.102242259218252,0.619949593855232
"19","none","rangebagging",0.875992558516454,0.692629991092532,0.653214449558107,0.621095959955694,0.625638483663099,0.634129263432147,0.621095959955694,0.171032797968269,0.108722099234783,0.681901444345466
"20","none","vine",0.882526288793854,0.69009311206919,0.657425418040381,0.630297309793934,0.630876988095944,0.604343376643616,0.630297309793934,0.0769768480314036,0.0941270989370295,0.671064354597489
"21","rangebagging","gaussian",0.814752555777837,0.692300925950169,0.661977113251667,0.467982809231577,0.513158851864177,0.779808585040188,0.467982809231577,0.131166237419002,0.0822008419568629,0.686417821728215
"22","rangebagging","kde",0.973443281685998,0.695872365901021,0.666014345588511,0.916087294874928,0.819461656502427,0.183110991067652,0.916087294874928,0.137156529184301,0.0792403647859416,0.700265126135768
"23","rangebagging","lobagoc",0.835964046203156,0.643327859093069,0.583982966995771,0.643049381721542,0.639889690830727,0.586280491334592,0.643049381721542,0.144312375419034,0.0999606911239596,0.6197162036001
"24","rangebagging","rangebagging",0.88267754878257,0.694050952604972,0.654156988501226,0.63287316981521,0.633996179529254,0.618955458425318,0.63287316981521,0.170834121253118,0.108098231887214,0.683874657088943
"25","rangebagging","vine",0.882882624272968,0.690429429935708,0.657728811983493,0.630954106265309,0.631458255039573,0.604026025381279,0.630954106265309,0.0774416804802375,0.0938117272268796,0.670582642184828
"26","vine","gaussian",0.849161666375387,0.683158132599724,0.664412106638909,0.397615790242309,0.469161857300143,0.831023496154642,0.397615790242309,0.0207929882685929,0.0641893226942425,0.675384615384615
"27","vine","kde",0.926719317495398,0.682335078665911,0.659989930752249,0.586233935600163,0.606183342681174,0.61503270142994,0.586233935600163,0.0203165304579729,0.0823896167380502,0.672805642633229
"28","vine","lobagoc",0.88816498900389,0.645433944249036,0.587213287594197,0.599207343454639,0.613341900048096,0.654094561449721,0.599207343454639,0.0327647064085536,0.103111238039981,0.621846427126663
"29","vine","rangebagging",0.697333540671074,0.521659382154324,0.573503126147568,0.115833577984251,0.225556623526519,0.931845748868221,0.115833577984251,-0.00712408340459217,0.0101404288518094,0.506781552310163
"30","vine","vine",0.915067517940136,0.692747842548889,0.658986747622237,0.574099357434543,0.600621578667739,0.663352948967039,0.574099357434543,0.0428928747434728,0.0935625115509725,0.676558999836128
