"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.863735015649821,0.134199279678073,6.43621201039088,1.22491910358916e-10
"pres_methodgaussian",-0.266110608815877,0.0613621561515789,-4.33672193914637,1.44623390798688e-05
"pres_methodkde",-0.184696042250086,0.0613177782857903,-3.01211243155702,0.00259436488599216
"pres_methodlobagoc",-0.479204252600736,0.063013457547618,-7.60479223408129,2.853619553218e-14
"pres_methodvine",-0.17191271329341,0.06214804283822,-2.76618064612143,0.00567171065949028
"bg_methodrangebagging",-0.00243684383985933,0.0358560049335645,-0.0679619451295373,0.945815927599671
"bg_methodgaussian",-0.734539583048402,0.035614913621694,-20.6244943017628,1.65451536844848e-94
"bg_methodkde",-0.623970083855711,0.0357256082417576,-17.4656252073656,2.61817267729332e-68
"bg_methodlobagoc",0.00655892320170772,0.0436205122498692,0.150363277811516,0.880478011898597
"bg_methodvine",-0.737579495598496,0.0364721905603133,-20.2230654168901,6.1350025473734e-91
"point_categorytypical",0.0195576395893508,0.139864919155174,0.139832344718639,0.888792456963695
"point_categoryhigh",-0.0970123404049723,0.185824967931466,-0.522063000924351,0.601626466336247
"pres_methodgaussian:bg_methodrangebagging",0.00272135559509434,0.0500465121590538,0.0543765285070326,0.956635178719947
"pres_methodkde:bg_methodrangebagging",0.00265901676367503,0.0499838444491939,0.0531975239795288,0.957574528401927
"pres_methodlobagoc:bg_methodrangebagging",0.00594481812018728,0.0498890298579022,0.11916082828469,0.905147939974189
"pres_methodvine:bg_methodrangebagging",0.00394415133538439,0.0500102433141691,0.0788668695452422,0.937138515404303
"pres_methodgaussian:bg_methodgaussian",0.740883592603903,0.0497695395947246,14.8862858414393,4.04631686316009e-50
"pres_methodkde:bg_methodgaussian",0.66844671248267,0.0496558444957921,13.4615918683916,2.63184434495863e-41
"pres_methodlobagoc:bg_methodgaussian",0.734378843983766,0.0497412493911036,14.7639806593823,2.50074592605637e-49
"pres_methodvine:bg_methodgaussian",0.754867426546428,0.049824115594705,15.1506437703161,7.50280603735186e-52
"pres_methodgaussian:bg_methodkde",0.692067453473937,0.0500397702638697,13.8303483374229,1.67208842374485e-43
"pres_methodkde:bg_methodkde",0.682065009593876,0.0499728365112679,13.6487151262683,2.05469418110367e-42
"pres_methodlobagoc:bg_methodkde",0.634540828839882,0.0498002151505151,12.7417286636626,3.46628254359834e-37
"pres_methodvine:bg_methodkde",0.672112411742861,0.0499792947343021,13.4478170473577,3.17095815699157e-41
"pres_methodgaussian:bg_methodlobagoc",NA,NA,NA,NA
"pres_methodkde:bg_methodlobagoc",NA,NA,NA,NA
"pres_methodlobagoc:bg_methodlobagoc",NA,NA,NA,NA
"pres_methodvine:bg_methodlobagoc",NA,NA,NA,NA
"pres_methodgaussian:bg_methodvine",0.710532276615546,0.0508507717712916,13.9728907126772,2.28174010823281e-44
"pres_methodkde:bg_methodvine",0.682099261433933,0.0507065483372531,13.4518969206352,3.00074326482276e-41
"pres_methodlobagoc:bg_methodvine",0.735059956435533,0.0503911288325933,14.5870904951844,3.3936498258328e-48
"pres_methodvine:bg_methodvine",0.760957345362605,0.050627993606786,15.0303674143747,4.64422670726923e-51
"pres_methodgaussian:point_categorytypical",0.270421796123011,0.0552910220621365,4.8908807621445,1.00385765529402e-06
"pres_methodkde:point_categorytypical",0.209366045379848,0.0552737835329733,3.78780014679024,0.000151987024497884
"pres_methodlobagoc:point_categorytypical",0.269073954353068,0.0567226489836867,4.74367751108472,2.09872867413467e-06
"pres_methodvine:point_categorytypical",0.17179218890899,0.0562110571459391,3.05619921829562,0.00224162261687453
"pres_methodgaussian:point_categoryhigh",0.491653327978387,0.0721249788344143,6.816685923848,9.31646334194297e-12
"pres_methodkde:point_categoryhigh",0.409785733380857,0.0719994929970194,5.69150859712056,1.25921814711226e-08
"pres_methodlobagoc:point_categoryhigh",0.290913062108123,0.0723155706471879,4.02282744234192,5.7503627203588e-05
"pres_methodvine:point_categoryhigh",0.298825457913524,0.0724402509654869,4.12513007521047,3.70525286810383e-05
