"model","median PA AUC","mean PA AUC","mean PA sensitivity","mean PA specificity","mean PA pAUC (sensitivity 0.8 - 1)","mean PA pAUC (specificity 0.8 -1)","mean PA prediction accuracy","mean PA correlation","mean PA kappa"
"maxnet",0.656,0.697,0.599,0.658,0.712,0.67,0.645,0.141,0.109
"CVmaxnet",0.657,0.694,0.636,0.623,0.688,0.64,0.633,0.14,0.097
"vine / gaussian",0.635,0.682,0.229,0.902,0.644,0.639,0.799,0.061,0.103
"rangebagging / rangebagging",0.668,0.682,0.167,0.942,0.649,0.631,0.815,0.174,0.073
"vine / kde",0.631,0.68,0.211,0.903,0.645,0.619,0.8,0.094,0.097
"gaussian / kde",0.662,0.678,0.473,0.722,0.653,0.61,0.682,0.055,0.093
"vine / vine",0.634,0.677,0.284,0.855,0.643,0.625,0.791,0.082,0.111
"kde / kde",0.658,0.677,0.089,0.97,0.667,0.625,0.82,0.09,0.061
"vine / rangebagging",0.639,0.676,0.211,0.899,0.641,0.619,0.796,0.098,0.09
"vine / none",0.639,0.676,0.213,0.899,0.641,0.619,0.796,0.099,0.092
"rulsif",0.679,0.675,0.348,0.791,0.649,0.618,0.725,0.151,0.081
"kde / none",0.656,0.674,0.012,0.998,0.655,0.623,0.837,0.094,0.013
"kde / rangebagging",0.656,0.674,0.012,0.998,0.655,0.623,0.837,0.094,0.013
"rangebagging / none",0.666,0.673,0.177,0.943,0.645,0.627,0.821,0.163,0.076
"kde / gaussian",0.659,0.669,0.172,0.906,0.664,0.638,0.782,0.048,0.065
"gaussian / rangebagging",0.655,0.667,0.474,0.706,0.633,0.613,0.669,0.126,0.09
"gaussian / none",0.655,0.667,0.477,0.705,0.633,0.613,0.669,0.125,0.09
"ulsif",0.646,0.666,0.282,0.862,0.636,0.622,0.783,0.14,0.079
"gaussian / gaussian",0.624,0.662,0.516,0.692,0.682,0.625,0.67,0.024,0.089
"kde / vine",0.616,0.659,0.22,0.844,0.657,0.625,0.765,0.035,0.067
"gaussian / vine",0.597,0.646,0.58,0.605,0.644,0.611,0.632,0.021,0.083
"lobagoc / none",0.595,0.606,0.266,0.868,0.542,0.597,0.786,0.144,0.108
"lobagoc / gaussian",0.597,0.605,0.306,0.851,0.542,0.605,0.775,0.033,0.105
"lobagoc / vine",0.585,0.599,0.372,0.817,0.542,0.613,0.759,0.044,0.116
"lobagoc / kde",0.587,0.597,0.316,0.838,0.542,0.587,0.766,0.055,0.098
"lobagoc / rangebagging",0.59,0.595,0.256,0.856,0.538,0.59,0.772,0.12,0.084
"lobagoc / lobagoc",0.582,0.592,0.29,0.858,0.528,0.597,0.777,0.152,0.113
"rangebagging / kde",0.59,0.591,0.687,0.428,0.615,0.57,0.458,0.023,0.033
"rangebagging / gaussian",0.508,0.548,0.726,0.363,0.622,0.587,0.43,0.028,0.01
"rangebagging / vine",0.53,0.539,0.831,0.259,0.59,0.556,0.356,-0.003,0.019
"gaussian / lobagoc",NA,NA,0.521,0.679,NA,NA,0.652,NA,0.072
"kde / lobagoc",NA,NA,0.07,0.963,NA,NA,0.812,NA,0.011
"rangebagging / lobagoc",NA,NA,0.219,0.908,NA,NA,0.796,NA,0.051
"vine / lobagoc",NA,NA,0.244,0.877,NA,NA,0.781,NA,0.082
