"model","median testing AUC","mean testing AUC","mean testing sensitivity","mean testing specificity","mean testing pAUC (sensitivity 0.8 - 1)","mean testing pAUC (specificity 0.8 -1)","mean testing prediction accuracy","mean testing correlation","mean testing kappa"
"maxnet",0.828,0.789,0.717,0.709,0.771,0.712,0.71,0.088,0.024
"gaussian / kde",0.816,0.781,0.72,0.667,0.759,0.725,0.668,0.097,0.022
"gaussian / gaussian",0.8,0.772,0.724,0.664,0.76,0.695,0.665,0.01,0.018
"kde / kde",0.799,0.766,0.257,0.951,0.748,0.718,0.949,0.086,0.076
"rangebagging / kde",0.792,0.765,0.831,0.491,0.737,0.74,0.493,0.144,0.035
"gaussian / vine",0.787,0.758,0.773,0.573,0.748,0.685,0.575,0.015,0.017
"kde / vine",0.781,0.749,0.51,0.756,0.742,0.683,0.756,0.016,0.027
"vine / kde",0.769,0.737,0.475,0.805,0.731,0.691,0.805,0.044,0.025
"kde / gaussian",0.767,0.737,0.379,0.854,0.736,0.679,0.854,0.007,0.025
"vine / vine",0.765,0.737,0.533,0.749,0.734,0.679,0.749,0.014,0.021
"rulsif",0.762,0.732,0.523,0.759,0.73,0.686,0.76,0.066,0.015
"vine / gaussian",0.757,0.731,0.485,0.786,0.73,0.674,0.786,0.007,0.016
"ulsif",0.745,0.719,0.44,0.797,0.722,0.681,0.798,0.062,0.015
"gaussian / rangebagging",0.74,0.713,0.742,0.544,0.723,0.667,0.545,0.045,0.011
"gaussian / none",0.74,0.711,0.742,0.544,0.719,0.668,0.545,0.046,0.011
"rangebagging / rangebagging",0.725,0.706,0.516,0.736,0.706,0.65,0.737,0.042,0.014
"rangebagging / none",0.716,0.705,0.527,0.726,0.702,0.645,0.727,0.042,0.013
"vine / rangebagging",0.722,0.7,0.495,0.731,0.713,0.658,0.732,0.017,0.011
"vine / none",0.723,0.7,0.5,0.73,0.713,0.653,0.731,0.019,0.012
"kde / rangebagging",0.71,0.698,0.097,0.957,0.714,0.654,0.954,0.037,0.017
"vine / lobagoc",0.696,0.696,0.513,0.738,0.924,0.847,0.739,0.042,0.013
"kde / none",0.707,0.695,0.093,0.957,0.708,0.654,0.955,0.035,0.017
"lobagoc / kde",0.687,0.685,0.523,0.778,0.622,0.69,0.778,0.096,0.035
"lobagoc / vine",0.682,0.673,0.565,0.735,0.621,0.654,0.736,0.013,0.02
"rangebagging / vine",0.678,0.67,0.884,0.322,0.683,0.619,0.324,0.005,0.008
"lobagoc / gaussian",0.681,0.669,0.529,0.756,0.619,0.656,0.756,0.011,0.018
"lobagoc / none",0.651,0.647,0.514,0.726,0.614,0.626,0.728,0.041,0.013
"lobagoc / rangebagging",0.653,0.645,0.511,0.728,0.612,0.63,0.73,0.04,0.013
"rangebagging / gaussian",0.644,0.643,0.861,0.327,0.668,0.63,0.33,0,0.005
"lobagoc / lobagoc",0.643,0.64,0.527,0.726,0.613,0.635,0.728,0.026,0.014
"gaussian / lobagoc",NA,NA,0.744,0.568,NA,NA,0.569,NA,0.012
"kde / lobagoc",NA,NA,0.135,0.953,NA,NA,0.95,NA,0.021
"rangebagging / lobagoc",NA,NA,0.541,0.732,NA,NA,0.733,NA,0.013
