"model","median testing AUC","mean testing AUC","mean testing sensitivity","mean testing specificity","mean testing pAUC (sensitivity 0.8 - 1)","mean testing pAUC (specificity 0.8 -1)","mean testing prediction accuracy","mean testing correlation","mean testing kappa"
"maxnet",0.8,0.75,0.61,0.73,0.788,0.718,0.73,0.022,0.003
"gaussian / gaussian",0.776,0.734,0.532,0.758,0.783,0.706,0.758,0.003,0.003
"rangebagging / kde",0.79,0.728,0.671,0.592,0.758,0.75,0.592,0.139,0.02
"gaussian / kde",0.754,0.723,0.49,0.778,0.779,0.716,0.778,0.04,0.005
"gaussian / vine",0.762,0.714,0.582,0.69,0.782,0.7,0.69,0.008,0.003
"kde / vine",0.75,0.702,0.193,0.912,0.774,0.697,0.911,0.012,0.005
"kde / gaussian",0.738,0.701,0.149,0.957,0.775,0.708,0.957,0.006,0.005
"kde / kde",0.741,0.698,0.064,0.991,0.772,0.718,0.99,0.032,0.012
"vine / lobagoc",0.696,0.696,0.228,0.895,0.924,0.847,0.895,0.042,0.003
"rulsif",0.71,0.682,0.335,0.824,0.772,0.693,0.824,0.017,0.003
"vine / gaussian",0.718,0.68,0.194,0.923,0.76,0.676,0.923,0.001,0.004
"vine / kde",0.719,0.678,0.172,0.929,0.767,0.702,0.929,0.02,0.003
"ulsif",0.712,0.677,0.285,0.851,0.766,0.695,0.85,0.018,0.005
"vine / vine",0.704,0.676,0.212,0.901,0.756,0.681,0.9,0.002,0.003
"vine / rangebagging",0.698,0.671,0.194,0.895,0.752,0.678,0.895,0.003,0.002
"kde / rangebagging",0.705,0.67,0.008,0.999,0.759,0.689,0.998,0.01,0.001
"gaussian / rangebagging",0.674,0.669,0.528,0.669,0.768,0.699,0.669,0.013,0.002
"kde / none",0.699,0.665,0.007,0.999,0.756,0.705,0.998,0.009,0.001
"gaussian / none",0.687,0.663,0.539,0.664,0.763,0.697,0.664,0.013,0.002
"rangebagging / none",0.683,0.663,0.162,0.92,0.731,0.677,0.92,0.014,0.003
"vine / none",0.69,0.66,0.205,0.894,0.753,0.668,0.893,0.005,0.002
"rangebagging / rangebagging",0.677,0.655,0.172,0.92,0.736,0.696,0.92,0.014,0.002
"rangebagging / gaussian",0.672,0.646,0.712,0.477,0.721,0.656,0.477,0,0.001
"rangebagging / vine",0.683,0.646,0.767,0.394,0.72,0.643,0.394,0,0
"lobagoc / gaussian",0.621,0.613,0.337,0.861,0.621,0.669,0.861,0.007,0.004
"lobagoc / vine",0.608,0.612,0.373,0.823,0.627,0.675,0.823,0.008,0.004
"lobagoc / lobagoc",0.581,0.604,0.309,0.837,0.65,0.676,0.837,0.016,0.004
"lobagoc / none",0.6,0.604,0.319,0.837,0.63,0.66,0.837,0.015,0.004
"lobagoc / kde",0.58,0.604,0.302,0.857,0.63,0.676,0.857,0.044,0.004
"lobagoc / rangebagging",0.554,0.593,0.299,0.845,0.629,0.667,0.844,0.015,0.004
"gaussian / lobagoc",NA,NA,0.527,0.682,NA,NA,0.682,NA,0.002
"kde / lobagoc",NA,NA,0.043,0.995,NA,NA,0.994,NA,0.007
"rangebagging / lobagoc",NA,NA,0.205,0.916,NA,NA,0.915,NA,0.002
