"model","median training AUC","mean training AUC","mean training sensitivity","mean training specificity","mean training pAUC (sensitivity 0.8 - 1)","mean training pAUC (specificity 0.8 -1)","mean training prediction accuracy","mean training correlation","mean training kappa"
"kde / rangebagging",1,0.999,0.924,0.999,0.998,0.998,0.999,0.556,0.779
"kde / none",1,0.999,0.937,0.999,0.998,0.998,0.999,0.556,0.785
"kde / kde",0.999,0.997,0.9,0.99,0.993,0.993,0.99,0.467,0.444
"kde / gaussian",0.991,0.979,0.9,0.951,0.943,0.943,0.951,0.138,0.17
"rangebagging / rangebagging",0.987,0.977,0.931,0.943,0.937,0.937,0.943,0.133,0.209
"rangebagging / none",0.984,0.974,0.922,0.936,0.928,0.928,0.936,0.131,0.218
"kde / lobagoc",0.999,0.971,0.931,0.91,0.982,0.982,0.911,0.544,0.661
"kde / vine",0.989,0.969,0.9,0.888,0.941,0.941,0.888,0.253,0.196
"vine / kde",0.988,0.969,0.912,0.919,0.927,0.927,0.919,0.279,0.14
"vine / gaussian",0.985,0.967,0.912,0.92,0.925,0.925,0.92,0.145,0.106
"vine / vine",0.981,0.957,0.912,0.874,0.909,0.909,0.874,0.211,0.106
"rangebagging / lobagoc",0.973,0.951,0.923,0.809,0.92,0.92,0.809,0.122,0.146
"lobagoc / gaussian",0.956,0.946,0.927,0.865,0.864,0.864,0.865,0.187,0.063
"ulsif",0.98,0.946,0.9,0.853,0.907,0.907,0.853,0.297,0.185
"lobagoc / kde",0.957,0.945,0.918,0.859,0.867,0.867,0.859,0.302,0.073
"vine / rangebagging",0.975,0.944,0.912,0.878,0.883,0.883,0.878,0.162,0.101
"vine / none",0.975,0.944,0.912,0.878,0.882,0.882,0.878,0.162,0.101
"lobagoc / vine",0.943,0.932,0.927,0.831,0.841,0.841,0.831,0.137,0.056
"vine / lobagoc",0.957,0.932,0.917,0.808,0.893,0.893,0.808,0.231,0.148
"rulsif",0.978,0.926,0.9,0.806,0.88,0.88,0.806,0.136,0.087
"gaussian / kde",0.934,0.916,0.912,0.778,0.843,0.843,0.778,0.221,0.043
"maxnet",0.926,0.91,0.9,0.744,0.824,0.824,0.744,0.127,0.019
"gaussian / gaussian",0.926,0.907,0.912,0.758,0.801,0.801,0.759,0.026,0.023
"lobagoc / none",0.932,0.903,0.934,0.854,0.804,0.804,0.854,0.131,0.067
"lobagoc / rangebagging",0.931,0.902,0.92,0.848,0.796,0.796,0.848,0.122,0.061
"lobagoc / lobagoc",0.918,0.888,0.924,0.757,0.779,0.779,0.758,0.114,0.055
"gaussian / vine",0.892,0.878,0.912,0.671,0.783,0.783,0.671,0.048,0.021
"rangebagging / kde",0.895,0.873,0.917,0.636,0.786,0.786,0.637,0.263,0.06
"gaussian / rangebagging",0.888,0.862,0.912,0.671,0.757,0.757,0.672,0.087,0.014
"gaussian / none",0.887,0.862,0.912,0.671,0.757,0.757,0.671,0.087,0.014
"gaussian / lobagoc",0.87,0.842,0.917,0.599,0.754,0.754,0.599,0.083,0.012
"rangebagging / gaussian",0.752,0.756,0.917,0.513,0.613,0.613,0.514,0,0.004
"rangebagging / vine",0.728,0.739,0.917,0.411,0.626,0.626,0.411,0,0.002
