"author","model","median_AUC","mean_AUC","median_Corr","mean_Corr","AUC_Q1","AUC_Q3","correlation_Q1","correlation_Q3"
"Valavi et al.","Ensemble",0.748,0.732,0.206,0.215,0.644,0.854,0.093,0.334
"Valavi et al.","MaxEnt tuned2",0.741,0.726,0.201,0.21,0.633,0.848,0.084,0.317
"Valavi et al.","BRT",0.74,0.725,0.188,0.207,0.623,0.848,0.092,0.319
"Valavi et al.","RF down-sampled",0.737,0.73,0.205,0.211,0.638,0.84,0.097,0.323
"Valavi et al.","MaxEnt",0.735,0.728,0.207,0.21,0.643,0.846,0.081,0.321
"Valavi et al.","MaxNet",0.733,0.724,0.196,0.205,0.632,0.839,0.083,0.313
"Valavi et al.","GLM unweighted",0.733,0.719,0.143,0.164,0.62,0.83,0.04,0.264
"Maitner et al.","Maxnet",0.731,0.725,0.157,0.174,0.633,0.842,0.052,0.27
"Valavi et al.","IWLR-GLM",0.728,0.717,0.125,0.155,0.62,0.83,0.036,0.248
"Valavi et al.","SVM weighted",0.725,0.711,0.173,0.195,0.621,0.828,0.06,0.319
"Valavi et al.","GLM",0.725,0.705,0.168,0.182,0.601,0.806,0.073,0.286
"Valavi et al.","Lasso",0.724,0.714,0.185,0.192,0.607,0.823,0.076,0.297
"Valavi et al.","IWLR-GAM",0.721,0.722,0.124,0.153,0.632,0.839,0.053,0.234
"Valavi et al.","GAM",0.718,0.719,0.184,0.194,0.622,0.837,0.076,0.303
"Valavi et al.","XGBoost",0.715,0.713,0.113,0.147,0.608,0.841,0.035,0.231
"Valavi et al.","Ridge regression",0.715,0.711,0.174,0.189,0.613,0.831,0.078,0.292
"Maitner et al.","ruLSIF",0.714,0.705,0.153,0.185,0.601,0.801,0.067,0.295
"Valavi et al.","MARS unweighted",0.706,0.696,0.113,0.136,0.592,0.814,0.024,0.222
"Valavi et al.","biomod",0.703,0.707,0.152,0.176,0.604,0.812,0.053,0.281
"Maitner et al.","KDE / none",0.701,0.696,0.097,0.137,0.588,0.796,0.026,0.227
"Maitner et al.","Vine / KDE",0.701,0.708,0.021,0.059,0.621,0.81,-0.003,0.091
"Maitner et al.","KDE / Range-Bagging",0.7,0.696,0.097,0.137,0.589,0.796,0.026,0.227
"Maitner et al.","Gaussian / Gaussian",0.7,0.693,-0.001,0.027,0.6,0.811,-0.016,0.037
"Maitner et al.","Vine / Gaussian",0.7,0.7,0,0.031,0.606,0.809,-0.011,0.046
"Maitner et al.","uLSIF",0.699,0.698,0.126,0.155,0.595,0.794,0.046,0.251
"Maitner et al.","Vine / Range-Bagging",0.698,0.698,0.042,0.071,0.592,0.801,-0.003,0.112
"Maitner et al.","Gaussian / KDE",0.698,0.707,0.04,0.087,0.616,0.809,-0.002,0.123
"Maitner et al.","Vine / none",0.698,0.698,0.042,0.071,0.592,0.801,-0.003,0.112
"Maitner et al.","Vine / Vine",0.696,0.705,-0.001,0.038,0.616,0.813,-0.008,0.051
"Maitner et al.","KDE / KDE",0.695,0.708,0.02,0.065,0.612,0.817,-0.003,0.104
"Maitner et al.","Vine / LOBAG-OC",0.688,0.69,0.039,0.07,0.587,0.794,-0.003,0.109
"Maitner et al.","Gaussian / Range-Bagging",0.686,0.692,0.11,0.131,0.581,0.78,0.03,0.197
"Maitner et al.","Gaussian / none",0.686,0.692,0.11,0.131,0.581,0.78,0.03,0.197
"Maitner et al.","Range-Bagging / Range-Bagging",0.684,0.694,0.148,0.171,0.608,0.774,0.074,0.248
"Maitner et al.","KDE / Vine",0.683,0.689,-0.002,0.021,0.591,0.793,-0.018,0.013
"Valavi et al.","cforest weighted",0.682,0.691,0.131,0.152,0.577,0.806,0.034,0.232
"Maitner et al.","Range-Bagging / none",0.682,0.693,0.153,0.171,0.598,0.779,0.072,0.262
"Maitner et al.","KDE / Gaussian",0.681,0.682,-0.003,0.013,0.583,0.793,-0.02,0.013
"Maitner et al.","KDE / LOBAG-OC",0.68,0.686,0.085,0.128,0.57,0.789,0.021,0.214
"Maitner et al.","Gaussian / LOBAG-OC",0.679,0.685,0.103,0.13,0.574,0.775,0.029,0.198
"Maitner et al.","Gaussian / Vine",0.677,0.686,-0.002,0.017,0.591,0.79,-0.012,0.016
"Valavi et al.","cforest",0.677,0.688,0.131,0.154,0.577,0.802,0.035,0.234
"Maitner et al.","Range-Bagging / LOBAG-OC",0.669,0.682,0.083,0.13,0.593,0.766,0.016,0.227
"Valavi et al.","SVM",0.661,0.667,0.089,0.115,0.553,0.764,0.019,0.21
"Maitner et al.","LOBAG-OC / Gaussian",0.633,0.646,0.008,0.039,0.568,0.729,-0.009,0.057
"Valavi et al.","RF",0.63,0.648,0.104,0.139,0.537,0.745,0.031,0.203
"Maitner et al.","LOBAG-OC / KDE",0.629,0.646,0.024,0.059,0.555,0.717,-0.002,0.081
"Maitner et al.","LOBAG-OC / Vine",0.624,0.645,-0.001,0.026,0.553,0.721,-0.008,0.024
"Maitner et al.","LOBAG-OC / none",0.62,0.646,0.119,0.148,0.555,0.72,0.052,0.228
"Maitner et al.","LOBAG-OC / Range-Bagging",0.62,0.643,0.117,0.144,0.551,0.72,0.052,0.229
