"model","pa_AUC","pa_pAUC_specificity","pa_pAUC_sensitivity","pa_DOR","pa_prediction_accuracy","pa_sensitivity","pa_specificity","pa_correlation","pa_kappa"
"ulsif",0.0374,0.1697,0.0031,0.0515,1e-04,0,0,0.0382,0.0149
"rulsif",0.1077,0.1286,0.0092,0.1355,0,0,0,1,0.1426
"maxnet",1,1,1,0.1531,0,1,0,0.372,0.8699
"rangebagging / rangebagging",0.0094,4e-04,3e-04,0.0876,0,0,0,0.4489,0.8682
"rangebagging / gaussian",0,0,0,0,0,0,0,0,0
"rangebagging / kde",0,0,0,0,0,0,0,0,0
"rangebagging / vine",0,0,0,0.0018,0,0,0,0,0
"rangebagging / lobagoc",NA,NA,NA,0.0066,0,0,0,NA,0.2933
"gaussian / rangebagging",0.0104,0.0024,0.0031,0.4078,0,0.9497,0,1e-04,0.0218
"gaussian / gaussian",0.041,0.0473,0.6385,0.4043,0,0.8148,0,0,0.2216
"gaussian / kde",0.1232,0.0307,0.0463,1,0,0.8944,0,0,0.1116
"gaussian / vine",0.0016,2e-04,0.0054,0.9811,0,0.0017,0,0,1e-04
"gaussian / lobagoc",NA,NA,NA,0.1657,0,0.7055,0,NA,0.0069
"kde / rangebagging",0.0239,0.0478,0.0088,1e-04,1e-04,0,0,3e-04,1e-04
"kde / gaussian",0.0043,0.0133,0.0311,1e-04,0.001,0,0,0,0.3164
"kde / kde",0.1686,0.1756,0.0534,0.0175,1,0,1,0,1
"kde / vine",0.0014,0.0027,0.0018,0.0191,0,0,0,0,0.0195
"kde / lobagoc",NA,NA,NA,0,0.0253,0,0.0144,NA,0
"vine / rangebagging",0.0066,0.0152,6e-04,0.0181,0,0,0,0,0.1813
"vine / gaussian",0.0228,0.1361,0.0059,0.0758,0,0,0,0,0.5439
"vine / kde",0.0406,0.0395,0.0052,0.1174,0,0,0,0,0.6822
"vine / vine",0.0112,0.0586,8e-04,0.1946,0,0,0,0,0.1392
"vine / lobagoc",NA,NA,NA,0.0018,0,0,0,NA,0.0666
"lobagoc / rangebagging",0,0,0,0.0011,0,0,0,0.0048,0.5404
"lobagoc / gaussian",0,0.0029,0,0.0053,0,0,0,0,0.8552
"lobagoc / kde",0,0,0,0.0018,0,0,0,0,0.8324
"lobagoc / vine",0,1e-04,0,0.0091,0,0,0,0,0.7387
"lobagoc / lobagoc",4e-04,0.0755,0,0.0035,0,0,0,0.8524,0.5896
"rangebagging / none",0.0086,9e-04,3e-04,0.2404,0,0,0,0.4425,0.9208
"gaussian / none",0.0103,0.0024,0.003,0.4132,0,0.9745,0,1e-04,0.0209
"kde / none",0.0236,0.0472,0.0089,1e-04,1e-04,0,0,3e-04,1e-04
"vine / none",0.0062,0.0169,5e-04,0.0167,0,0,0,0,0.1852
"lobagoc / none",0,0,0,0.0025,0,0,0,0.0093,0.6187
