"model","pct_na_sens","pct_na_spec","pct_na_auc","pct_bad_aucs"
"rangebagging / rangebagging",0,0,0,7
"gaussian / none",0,0,0,9
"gaussian / rangebagging",0,0,0,9
"vine / gaussian",3,3,3,9
"gaussian / kde",0,0,0,12
"kde / none",0,0,0,12
"kde / rangebagging",0,0,0,12
"rulsif",0,0,0,12
"ulsif",0,0,0,12
"vine / kde",3,3,3,12
"vine / none",3,3,3,12
"vine / rangebagging",3,3,3,12
"vine / vine",3,3,3,12
"rangebagging / none",0,0,0,13
"kde / kde",0,0,0,15
"maxnet",0,0,0,15
"gaussian / gaussian",0,0,0,18
"kde / gaussian",0,0,0,21
"kde / vine",0,0,3,21
"rangebagging / kde",0,0,0,23
"gaussian / vine",0,0,6,24
"lobagoc / kde",9,9,9,26
"lobagoc / gaussian",18,18,18,32
"lobagoc / rangebagging",12,12,12,32
"lobagoc / vine",18,18,18,32
"lobagoc / none",18,18,18,35
"rangebagging / gaussian",0,0,0,37
"rangebagging / vine",0,0,7,50
"lobagoc / lobagoc",9,9,38,53
"gaussian / lobagoc",0,0,100,100
"kde / lobagoc",0,0,100,100
"rangebagging / lobagoc",0,0,100,100
"vine / lobagoc",3,3,100,100
