"author","model","median_AUC","mean AUC","mean Corr","median_Corr","AUC_Q1","AUC_Q3","correlation_Q1","correlation_Q3"
"Maitner et al.","Range-Bagging / Range-Bagging",0.68,"0.692 (0.133)","0.177 (0.149)",0.145,0.609,0.757,0.072,0.248
"Maitner et al.","ruLSIF",0.679,"0.675 (0.158)","0.151 (0.18)",0.115,0.565,0.764,0.036,0.214
"Valavi et al.","GLM",0.676,"0.688 (0.18)","0.151 (0.147)",0.138,0.52,0.834,0.037,0.251
"Maitner et al.","Range-Bagging / none",0.666,"0.673 (0.151)","0.163 (0.161)",0.156,0.596,0.756,0.046,0.264
"Maitner et al.","Vine / Vine",0.666,"0.676 (0.155)","0.065 (0.145)",-0.001,0.57,0.781,-0.009,0.099
"Maitner et al.","Vine / Range-Bagging",0.663,"0.677 (0.149)","0.067 (0.131)",0.006,0.561,0.791,-0.007,0.102
"Maitner et al.","Vine / none",0.663,"0.677 (0.149)","0.067 (0.131)",0.006,0.561,0.791,-0.007,0.102
"Maitner et al.","Gaussian / KDE",0.662,"0.678 (0.152)","0.055 (0.11)",0.008,0.592,0.76,-0.016,0.093
"Maitner et al.","Vine / KDE",0.662,"0.68 (0.152)","0.075 (0.141)",0.006,0.572,0.787,-0.008,0.15
"Maitner et al.","Vine / Gaussian",0.661,"0.68 (0.153)","0.052 (0.1)",-0.001,0.554,0.789,-0.006,0.105
"Valavi et al.","RF down-sampled",0.66,"0.67 (0.214)","0.147 (0.187)",0.145,0.52,0.869,0.037,0.282
"Maitner et al.","KDE / Gaussian",0.659,"0.669 (0.176)","0.048 (0.105)",-0.001,0.551,0.797,-0.008,0.132
"Maitner et al.","KDE / KDE",0.658,"0.677 (0.164)","0.09 (0.141)",0.022,0.558,0.798,-0.005,0.167
"Maitner et al.","uLSIF",0.658,"0.668 (0.149)","0.145 (0.177)",0.114,0.579,0.734,0.018,0.23
"Valavi et al.","Ensemble",0.657,"0.679 (0.208)","0.164 (0.187)",0.127,0.54,0.889,0.041,0.267
"Maitner et al.","KDE / Range-Bagging",0.656,"0.674 (0.16)","0.094 (0.161)",0.032,0.559,0.783,-0.006,0.173
