"model","comparison","pval","W","comparison_difference"
"rangebagging / rangebagging","rangebagging / rangebagging",1,420.5,0
"rangebagging / rangebagging","rangebagging / gaussian",0.000273523034823194,669,0.135772854460093
"rangebagging / rangebagging","rangebagging / kde",0.00133783785273208,643,0.0995169423488654
"rangebagging / rangebagging","rangebagging / vine",4.77603674452118e-05,694,0.149263627210246
"rangebagging / rangebagging","rangebagging / lobagoc",0.16653519521587,527,0.0456495278228295
"rangebagging / rangebagging","gaussian / rangebagging",0.369165785434133,543,0.0254049410728709
"rangebagging / rangebagging","gaussian / gaussian",0.361702439856082,544,0.0300390047976539
"rangebagging / rangebagging","gaussian / kde",0.492084746980935,528,0.0136249918077438
"rangebagging / rangebagging","gaussian / vine",0.243523252665568,562,0.0346353513402023
"rangebagging / rangebagging","gaussian / lobagoc",0.190920042245996,572,0.0464028318718238
"rangebagging / rangebagging","kde / rangebagging",0.542031666122751,538,0.0177429213868813
"rangebagging / rangebagging","kde / gaussian",0.446748475789901,549,0.0234242662370077
"rangebagging / rangebagging","kde / kde",0.515090738270485,541,0.0149183378704522
"rangebagging / rangebagging","kde / vine",0.406758805837857,554,0.0247441738088096
"rangebagging / rangebagging","kde / lobagoc",0.14659405681838,599,0.0440698647155551
"rangebagging / rangebagging","vine / rangebagging",0.575071917227295,519,0.0150008911672245
"rangebagging / rangebagging","vine / gaussian",0.594360523971461,517,0.0118706151168694
"rangebagging / rangebagging","vine / kde",0.613935273411204,515,0.0119373515505315
"rangebagging / rangebagging","vine / vine",0.556080082296967,521,0.0164670194046885
"rangebagging / rangebagging","vine / lobagoc",0.198749430426632,587,0.0391511236943878
"rangebagging / rangebagging","lobagoc / rangebagging",0.000791423933047335,652,0.0975258324457609
"rangebagging / rangebagging","lobagoc / gaussian",0.00363208231294664,586,0.0871087672016715
"rangebagging / rangebagging","lobagoc / kde",0.000409275055309913,683,0.0951508215575235
"rangebagging / rangebagging","lobagoc / vine",0.00114665097160376,606,0.0936114011802066
"rangebagging / rangebagging","lobagoc / lobagoc",0.000321196139836795,734,0.109092867438694
"rangebagging / rangebagging","rangebagging / none",0.59299651504642,471,0.0188290994154683
"rangebagging / rangebagging","gaussian / none",0.369165785434133,543,0.025385691543248
"rangebagging / rangebagging","kde / none",0.532974944035696,539,0.017724284843832
"rangebagging / rangebagging","vine / none",0.575071917227295,519,0.014978061414362
"rangebagging / rangebagging","lobagoc / none",0.00404692190151204,584,0.0863757731400229
"rangebagging / rangebagging","ulsif",0.506265266655906,542,0.0244094360681912
"rangebagging / rangebagging","rulsif",0.646347603958856,527,0.0169328881534863
"rangebagging / rangebagging","maxnet",0.885697566357481,504,-0.00543941667720427
"rangebagging / rangebagging","biomod",0.273279909477284,557,0.0245029544741024
"rangebagging / rangebagging","BRT",0.267140893201899,558,0.0277196279147431
"rangebagging / rangebagging","cforest",0.0117980613794645,656,0.078835518756498
"rangebagging / rangebagging","cforest weighted",0.0290944436530859,633,0.067536128846993
"rangebagging / rangebagging","Ensemble",0.500982280072264,527,0.0134927273854855
