"model","% AUC < 0.50","Corr. testing vs. PA AUC","CI Low Corr. testing vs. PA AUC","CI High Corr. testing vs. PA AUC","mean PA AUC","CI Low mean PA AUC","mean testing AUC"
"rangebagging / rangebagging",6.897,0.255,-0.138,0.579,0.692,0.432,0.676
"gaussian / none",9.091,0.368,0.022,0.635,0.667,0.379,0.672
"gaussian / rangebagging",9.091,0.378,0.034,0.642,0.667,0.379,0.682
"kde / none",11.765,0.588,0.301,0.777,0.674,0.36,0.663
"kde / rangebagging",11.765,0.536,0.231,0.746,0.674,0.36,0.671
"rulsif",11.765,0.239,-0.119,0.543,0.675,0.366,0.69
"ulsif",11.765,0.206,-0.153,0.518,0.668,0.375,0.683
"gaussian / kde",12.121,0.468,0.143,0.702,0.678,0.381,0.724
"gaussian / lobagoc",12.121,0.118,-0.241,0.448,0.646,0.351,0.646
"rangebagging / lobagoc",13.333,0.065,-0.302,0.416,0.646,0.35,0.651
"rangebagging / none",13.333,0.219,-0.153,0.537,0.673,0.378,0.67
"kde / kde",14.706,0.555,0.256,0.757,0.677,0.356,0.686
"kde / lobagoc",14.706,0.352,0.004,0.624,0.648,0.357,0.636
"maxnet",14.706,0.484,0.163,0.713,0.697,0.33,0.752
"vine / lobagoc",14.706,0.24,-0.118,0.543,0.653,0.389,0.671
"kde / vine",17.647,0.59,0.305,0.779,0.667,0.336,0.697
"gaussian / gaussian",18.182,0.505,0.19,0.726,0.662,0.308,0.731
"gaussian / vine",18.182,0.379,0.035,0.643,0.657,0.344,0.72
"kde / gaussian",20.588,0.571,0.277,0.767,0.669,0.323,0.693
"rangebagging / kde",23.333,0.44,0.088,0.695,0.593,0.319,0.72
"rangebagging / gaussian",36.667,0.387,0.024,0.66,0.556,0.233,0.632
"rangebagging / vine",36.667,0.545,0.223,0.76,0.543,0.269,0.659
